accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2013-10-24,2013,Q3,16.610500,18.169500,17.908001,17.937000,17.811001,17092000000,12366000000,-25000000,-41000000,17334000000,14527000000,16135000000,14527000000,9087000000,1388000000,-1038000000,-3691.2222,-0.0045,0.0405,228.6924,-0.0024,0.3349,1.0743,0.6660,-0.0045,-0.0013,0.0023,10,59,30
2014-01-30,2013,Q4,20.150499,17.934500,17.307501,18.043501,17.490000,25587000000,18806000000,510000000,240000000,24625000000,15534000000,22980000000,15534000000,9746000000,5578000000,-880000000,769.1030,0.0262,0.0526,148.9166,0.0094,0.5316,1.0716,0.7491,0.0246,0.0060,0.0252,7,70,22
2014-04-24,2014,Q1,16.857500,15.191500,14.829000,15.502500,14.881000,19741000000,14055000000,146000000,108000000,19327000000,17037000000,18357000000,17037000000,10328000000,-2502000000,-1080000000,1440.8120,0.0117,0.0518,162.7907,0.0055,0.3047,1.0528,0.6870,0.0105,0.0030,-0.0226,11,57,30
2014-07-24,2014,Q2,17.930500,16.200500,16.020500,15.682500,16.313999,19340000000,13399000000,-15000000,-126000000,18755000000,19143000000,18751000000,19143000000,10602000000,862000000,-1290000000,-1308.7956,-0.0137,0.0494,181.6823,-0.0065,0.2942,1.0002,0.6459,-0.0119,-0.0033,-0.0026,11,58,29
2014-10-23,2014,Q3,15.659000,14.353000,14.498500,15.286000,15.575500,20579000000,14627000000,-544000000,-437000000,18572000000,21847000000,20842000000,21847000000,10336000000,1766000000,-1378000000,-331.7585,-0.0472,0.0275,269.7696,-0.0212,0.2998,0.8911,0.5401,-0.0423,-0.0108,0.0027,12,59,28
2015-01-29,2014,Q4,15.589000,17.726500,18.223499,18.528000,18.950001,29329000000,20672000000,590000000,214000000,31327000000,23178000000,28089000000,23178000000,10741000000,6715000000,-1144000000,674.8485,0.0231,0.0621,94.8101,0.0073,1.1627,1.1153,0.8198,0.0199,0.0039,0.0382,7,69,23
2015-04-23,2015,Q1,19.499500,22.254999,21.927999,21.152000,21.343500,22717000000,15395000000,255000000,-57000000,25922000000,24153000000,23177000000,24153000000,10873000000,-1499000000,-871000000,-3196.6393,-0.0061,0.0673,130.7000,-0.0025,0.7594,1.1184,0.8005,-0.0052,-0.0011,-0.0131,11,58,29
2015-07-23,2015,Q2,24.108999,26.471001,26.570499,26.751499,26.295500,23185000000,15160000000,464000000,92000000,26391000000,26049000000,23912000000,26049000000,11768000000,1997000000,-1213000000,2435.2524,0.0099,0.0781,139.1472,0.0040,0.7011,1.1037,0.7913,0.0078,0.0018,0.0034,12,59,28
2015-10-22,2015,Q3,28.195499,29.951500,30.430500,31.417500,33.662498,25358000000,16755000000,406000000,79000000,28849000000,27381000000,26657000000,27381000000,12430000000,2610000000,-1195000000,3356.6070,0.0084,0.0728,153.2325,0.0031,0.6632,1.0822,0.7453,0.0064,0.0014,0.0054,12,59,28
2016-01-28,2015,Q4,31.767500,29.350000,28.740499,24.405001,26.250000,35747000000,24341000000,1109000000,482000000,36474000000,28970000000,33899000000,28970000000,13384000000,8812000000,-1309000000,619.2495,0.0513,0.0754,124.6014,0.0135,1.0597,1.0760,0.7738,0.0360,0.0074,0.0246,8,72,19
