filling_date,year,period,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,positive_score,neutral_score,negative_score
2012-02-01,2011,Q4,9.086000,9.384000,9.274000,9.223500,17431000000,16351000000,260000000,177000000,17490000000,7788000000,14896000000,7788000000,7757000000,4269000000,-550000000,7,73,18
2012-04-27,2012,Q1,11.595000,11.595000,11.199500,11.384000,13185000000,12267000000,192000000,130000000,12154000000,8185000000,10488000000,8185000000,7271000000,-2438000000,-386000000,12,59,27
2012-07-27,2012,Q2,11.804500,11.804500,11.748500,11.637500,12834000000,11926000000,107000000,7000000,11793000000,9229000000,10964000000,9229000000,7505000000,594000000,-657000000,12,58,28
2012-10-26,2012,Q3,11.644500,11.644500,11.621000,11.315500,13806000000,10319000000,-28000000,-274000000,13118000000,9716000000,12605000000,9716000000,7553000000,943000000,-716000000,12,59,28
2013-01-30,2012,Q4,13.275000,13.250000,13.111000,13.473500,21268000000,16137000000,405000000,98000000,21296000000,11259000000,19002000000,11259000000,8192000000,5081000000,-2025000000,7,72,19
2013-04-26,2013,Q1,12.487000,12.487000,12.902500,13.181500,16070000000,11801000000,181000000,82000000,16313000000,12064000000,14332000000,12064000000,8432000000,-2372000000,-670000000,11,60,28
2013-07-26,2013,Q2,15.305000,15.305000,15.210500,14.863000,15704000000,11209000000,79000000,-7000000,16285000000,13338000000,14735000000,13338000000,8733000000,880000000,-855000000,11,59,29
2013-10-25,2013,Q3,17.908001,17.908001,17.950001,17.515499,17092000000,12366000000,-25000000,-41000000,17334000000,14527000000,16135000000,14527000000,9087000000,1388000000,-1038000000,10,59,30
2014-01-31,2013,Q4,17.307501,17.307501,18.054001,17.867500,25587000000,18806000000,510000000,240000000,24625000000,15534000000,22980000000,15534000000,9746000000,5578000000,-880000000,7,70,22
2014-04-25,2014,Q1,14.829000,14.829000,15.400500,14.612000,19741000000,14055000000,146000000,108000000,19327000000,17037000000,18357000000,17037000000,10328000000,-2502000000,-1080000000,11,57,30
2014-07-25,2014,Q2,16.020500,16.020500,15.353000,15.840000,19340000000,13399000000,-15000000,-126000000,18755000000,19143000000,18751000000,19143000000,10602000000,862000000,-1290000000,11,58,29
2014-10-24,2014,Q3,14.498500,14.498500,15.273000,14.993000,20579000000,14627000000,-544000000,-437000000,18572000000,21847000000,20842000000,21847000000,10336000000,1766000000,-1378000000,12,59,28
2015-01-30,2014,Q4,18.223499,18.223499,18.714001,19.091499,29329000000,20672000000,590000000,214000000,31327000000,23178000000,28089000000,23178000000,10741000000,6715000000,-1144000000,7,69,23
2015-04-24,2015,Q1,21.927999,21.927999,21.143499,21.684500,22717000000,15395000000,255000000,-57000000,25922000000,24153000000,23177000000,24153000000,10873000000,-1499000000,-871000000,11,58,29
2015-07-24,2015,Q2,26.570499,26.570499,26.807501,26.131001,23185000000,15160000000,464000000,92000000,26391000000,26049000000,23912000000,26049000000,11768000000,1997000000,-1213000000,12,59,28
